time step, id0, role0, type0, x0, y0, present0, id1, role1, type1, x1, y1, present1, id2, role2, type2, x2, y2, present2, id3, role3, type3, x3, y3, present3, id4, role4, type4, x4, y4, present4, id5, role5, type5, x5, y5, present5, id6, role6, type6, x6, y6, present6, id7, role7, type7, x7, y7, present7, id8, role8, type8, x8, y8, present8, id9, role9, type9, x9, y9, present9
-1000, 96, others, car, 27.583021193405237, -3.694154686007805, 1, 99, others, car, 19.002274242000997, -4.007647518406084, 1, 102, others, car, 28.099867512210913, 0.47172851959660367, 1, 106, others, car, 36.72081919512894, 14.510266801084153, 1, 108, others, car, 16.02114922887641, 0.3521056461805457, 1, 110, others, car, 9.162896301637492, -3.8477514687721963, 1, 111, others, car, 33.35229595831428, 16.293974233102876, 1, 112, others, car, 9.904616682307413, 0.0494001676026965, 1, 114, others, car, -2.108268944532923, -3.9814488641094457, 1, 115, agent, car, -2.3524790341593422, -0.002528604525762576, 1
-900, 96, others, car, 28.046590506091356, -3.6953762979738327, 1, 99, others, car, 19.23990519494774, -4.0154916373244545, 1, 102, others, car, 28.537524778352637, 0.48931025424493224, 1, 106, others, car, 36.72987459681441, 14.296456137878856, 1, 108, others, car, 16.08921508479549, 0.35230378253988104, 1, 110, others, car, 9.224968783336648, -3.8478352286012187, 1, 111, others, car, 33.35229595831428, 16.293974233102876, 1, 112, others, car, 9.947569197549424, 0.05142042362003579, 1, 114, others, car, -1.8480862346928362, -3.9792223196422665, 1, 115, agent, car, -2.0892056718131338, -0.0021589033711379574, 1
-800, 96, others, car, 28.54012668987659, -3.6951884289974153, 1, 99, others, car, 19.48048585230637, -4.022195912445309, 1, 102, others, car, 28.997063784570972, 0.5099233996573099, 1, 106, others, car, 36.73950604992035, 14.091682518701388, 1, 108, others, car, 16.166271002044095, 0.35292476318201993, 1, 110, others, car, 9.294033534959002, -3.847590109543693, 1, 111, others, car, 33.35229595831428, 16.293974233102876, 1, 112, others, car, 9.990568695489625, 0.05244178393409893, 1, 114, others, car, -1.5848598550447095, -3.9778537227842468, 1, 115, agent, car, -1.8269781878682938, -0.0008372892110814212, 1
-700, 96, others, car, 29.061631953354393, -3.6936850444749325, 1, 99, others, car, 19.724110179473026, -4.029758135175095, 1, 102, others, car, 29.476627687553577, 0.5304773033280796, 1, 106, others, car, 36.74762179764406, 13.897849769561937, 1, 108, others, car, 16.2553606504305, 0.35311064049769975, 1, 110, others, car, 9.36913864349913, -3.848061990001216, 1, 111, others, car, 33.35229595831428, 16.293974233102876, 1, 112, others, car, 10.032522315028467, 0.05441505725336687, 1, 114, others, car, -1.3196356839900307, -3.976391160529847, 1, 115, agent, car, -1.5686993040387303, -0.0007025015466236711, 1
-600, 96, others, car, 29.61205820952985, -3.689820266004805, 1, 99, others, car, 19.96564274983675, -4.03541653189471, 1, 102, others, car, 29.975123626201025, 0.5529227739655005, 1, 106, others, car, 36.75417485728764, 13.715956786164357, 1, 108, others, car, 16.356437047256737, 0.35386031019032094, 1, 110, others, car, 9.452234917665841, -3.8481580088738823, 1, 111, others, car, 33.35332957767199, 16.271998527630117, 1, 112, others, car, 10.075521812968669, 0.05543641756743006, 1, 114, others, car, -1.0494170344188205, -3.9746936847852856, 1, 115, agent, car, -1.3164607771269268, 0.00014928563254198307, 1
-500, 96, others, car, 30.192404354106465, -3.6835471108891715, 1, 99, others, car, 20.206176424497297, -4.041121911312169, 1, 102, others, car, 30.49255160051308, 0.5772598115697889, 1, 106, others, car, 36.76011714185622, 13.547049446909664, 1, 108, others, car, 16.468501296819184, 0.3551267895617907, 1, 110, others, car, 9.54237044445372, -3.8489240445634025, 1, 111, others, car, 33.3541752662374, 16.254018404970598, 1, 112, others, car, 10.118474328210793, 0.05745667358477469, 1, 114, others, car, -0.7771536107428569, -3.9739011393478467, 1, 115, agent, car, -1.072213415841721, 0.0006252112271918631, 1
-400, 96, others, car, 30.800672595677334, -3.674959544523976, 1, 99, others, car, 20.440669742240072, -4.046110291214693, 1, 102, others, car, 31.02795969748443, 0.6024425377394682, 1, 106, others, car, 36.764402772948316, 13.39207966480317, 1, 108, others, car, 16.593551190524625, 0.35700404400838676, 1, 110, others, car, 9.640544119565929, -3.850313114371704, 1, 111, others, car, 33.356395712090574, 16.228094099382897, 1, 112, others, car, 10.16247272185428, 0.05852501659680093, 1, 114, others, car, -0.5018934999570545, -3.972967645816064, 1, 115, agent, car, -0.8359572201828801, 0.0007252752372230928, 1
-300, 96, others, car, 31.43786182994631, -3.6640105842111135, 1, 99, others, car, 20.66817079005955, -4.051427550003997, 1, 102, others, car, 31.57930314301077, 0.6293758827817957, 1, 106, others, car, 36.768982559272644, 13.25214030094432, 1, 108, others, car, 16.73063481536775, 0.35844619512851833, 1, 110, others, car, 9.74670896030484, -3.8513263225952565, 1, 111, others, car, 33.35804010652329, 16.19313274976725, 1, 112, others, car, 10.207423028502967, 0.06063923801029886, 1, 114, others, car, -0.2255875107697749, -3.9729860652895943, 1, 115, agent, car, -0.610688877260357, 0.0003085295682867875, 1
-200, 96, others, car, 32.10297316120955, -3.6507472126489158, 1, 99, others, car, 20.888585602559775, -4.055075896273166, 1, 102, others, car, 32.14662891978996, 0.6570609509931388, 1, 106, others, car, 36.7718587094224, 13.127137389936951, 1, 108, others, car, 16.879658205952634, 0.3614510343288728, 1, 110, others, car, 9.85986607096672, -3.8520106519322725, 1, 111, others, car, 33.361200206338275, 16.147230530113138, 1, 112, others, car, 10.253419213553126, 0.06180154641859731, 1, 114, others, car, 0.0516703914225905, -3.971958606361659, 1, 115, agent, car, -0.3964553697723526, 0.00037386992388616785, 1
-100, 96, others, car, 32.79600658946716, -3.635169429837263, 1, 99, others, car, 21.098012562323575, -4.059241052221195, 1, 102, others, car, 32.72789225371734, 0.6864026726811933, 1, 106, others, car, 36.774030119101, 13.017117914479144, 1, 108, others, car, 17.0397164319718, 0.36397378750479437, 1, 110, others, car, 9.983106104057915, -3.8542229456951835, 1, 111, others, car, 33.364877115831874, 16.090340457722917, 1, 112, others, car, 10.302365103015054, 0.06410369862440723, 1, 114, others, car, 0.32602557190127557, -3.973069886934743, 1, 115, agent, car, -0.1932566977186397, 0.000921296304031918, 1
